	OKUL NO	    Final
1	1122705016	19
2	1222705020	
3	1322705006	37
4	1322705027	24
5	1322705052	
6	1322706004	
7	1422705003	15
8	1422705017	
9	1422705020	23
10	1422705041	30
11	1422705048	26
12	1422705051	37
13	1422705055	31
14	1422706005	42
15	1422706007	33
16	1422706011	47
17	1422706013	45
18	1422706017	34
19	1422706019	31
20	1512705013	39
21	1522705001	12
22	1522705007	42
23	1522705009	
24	1522705025	37
25	1522705031	10
26	1522705041	32
27	1522705044	
28	1522705317	39
